
Size,Series,Class,Allowance,ExtMajMax,ExtMajMin,ExtPitchMax,ExtPitchMin,ExtUNRMax,IntMinorMin,IntMinorMax,IntPitchMin,IntPitchMax,IntMajorMin
1/2–13,UNC,1,0.0015,0.4985,0.4822,0.4485,0.4411,0.4069,0.417,0.434,0.4500,0.4597,0.5000
1/2–13,UNC,2,0.0015,0.4985,0.4876,0.4485,0.4435,0.4069,0.417,0.434,0.4500,0.4565,0.5000
1/2–13,UNC,3,0.0000,0.5000,0.4891,0.4500,0.4463,0.4084,0.4170,0.4284,0.4500,0.4548,0.5000
1/2–14,UNS,2,0.0015,0.4985,0.4882,0.4521,0.4471,0.4135,0.423,0.438,0.4536,0.4601,0.5000
1/2–16,UN,2,0.0014,0.4986,0.4892,0.4580,0.4533,0.4241,0.432,0.446,0.4594,0.4655,0.5000
1/2–16,UN,3,0.0000,0.5000,0.4906,0.4594,0.4559,0.4255,0.4320,0.4419,0.4594,0.4640,0.5000
1/2–18,UNS,2,0.0013,0.4987,0.4900,0.4626,0.4582,0.4326,0.440,0.453,0.4639,0.4697,0.5000
1/2–20,UNF,1,0.0013,0.4987,0.4865,0.4662,0.4598,0.4392,0.446,0.457,0.4675,0.4759,0.5000
1/2–20,UNF,2,0.0013,0.4987,0.4906,0.4662,0.4619,0.4392,0.446,0.457,0.4675,0.4731,0.5000
1/2–20,UNF,3,0.0000,0.5000,0.4919,0.4675,0.4643,0.4405,0.4460,0.4537,0.4675,0.4717,0.5000
1/2–24,UNS,2,0.0012,0.4988,0.4916,0.4717,0.4678,0.4492,0.455,0.465,0.4729,0.4780,0.5000
1/2–27,UNS,2,0.0011,0.4989,0.4922,0.4748,0.4711,0.4548,0.460,0.469,0.4759,0.4807,0.5000
1/2–28,UNEF,2,0.0011,0.4989,0.4924,0.4757,0.4720,0.4563,0.461,0.470,0.4768,0.4816,0.5000
1/2–28,UNEF,3,0.0000,0.5000,0.4935,0.4768,0.4740,0.4574,0.4610,0.4676,0.4768,0.4804,0.5000
1/2–32,UN,2,0.0010,0.4990,0.4930,0.4787,0.4752,0.4618,0.466,0.474,0.4797,0.4842,0.5000
1/2–32,UN,3,0.0000,0.5000,0.4940,0.4797,0.4771,0.4628,0.4660,0.4719,0.4797,0.4831,0.5000
9/16–12,UNC,1,0.0016,0.5609,0.5437,0.5068,0.4990,0.4617,0.472,0.490,0.5084,0.5186,0.5625
9/16–12,UNC,2,0.0016,0.5609,0.5495,0.5068,0.5016,0.4617,0.472,0.490,0.5084,0.5152,0.5625
9/16–12,UNC,3,0.0000,0.5625,0.5511,0.5084,0.5045,0.4633,0.4720,0.4843,0.5084,0.5135,0.5625
9/16–14,UNS,2,0.0015,0.5610,0.5507,0.5146,0.5096,0.4760,0.485,0.501,0.5161,0.5226,0.5625
9/16–16,UN,2,0.0014,0.5611,0.5517,0.5205,0.5158,0.4866,0.495,0.509,0.5219,0.5280,0.5625
9/16–16,UN,3,0.0000,0.5625,0.5531,0.5219,0.5184,0.4880,0.4950,0.5040,0.5219,0.5265,0.5625
9/16–18,UNF,1,0.0014,0.5611,0.5480,0.5250,0.5182,0.4950,0.502,0.515,0.5264,0.5353,0.5625
9/16–18,UNF,2,0.0014,0.5611,0.5524,0.5250,0.5205,0.4950,0.502,0.515,0.5264,0.5323,0.5625
9/16–18,UNF,3,0.0000,0.5625,0.5538,0.5264,0.5230,0.4964,0.5020,0.5106,0.5264,0.5308,0.5625
9/16–20,UN,2,0.0013,0.5612,0.5531,0.5287,0.5245,0.5017,0.508,0.520,0.5300,0.5355,0.5625
9/16–20,UN,3,0.0000,0.5625,0.5544,0.5300,0.5268,0.5030,0.5080,0.5162,0.5300,0.5341,0.5625
9/16–24,UNEF,2,0.0012,0.5613,0.5541,0.5342,0.5303,0.5117,0.517,0.527,0.5354,0.5405,0.5625
9/16–24,UNEF,3,0.0000,0.5625,0.5553,0.5354,0.5325,0.5129,0.5170,0.5244,0.5354,0.5392,0.5625
9/16–27,UNS,2,0.0011,0.5614,0.5547,0.5373,0.5336,0.5173,0.522,0.531,0.5384,0.5432,0.5625
9/16–28,UN,2,0.0011,0.5614,0.5549,0.5382,0.5345,0.5188,0.524,0.532,0.5393,0.5441,0.5625
9/16–28,UN,3,0.0000,0.5625,0.5560,0.5393,0.5365,0.5199,0.5240,0.5301,0.5393,0.5429,0.5625
9/16–32,UN,2,0.0010,0.5615,0.5555,0.5412,0.5377,0.5243,0.529,0.536,0.5422,0.5467,0.5625
9/16–32,UN,3,0.0000,0.5625,0.5565,0.5422,0.5396,0.5253,0.5290,0.5344,0.5422,0.5456,0.5625
5/8–11,UNC,1,0.0016,0.6234,0.6052,0.5644,0.5561,0.5152,0.527,0.546,0.5660,0.5767,0.6250
5/8–11,UNC,2,0.0016,0.6234,0.6113,0.5644,0.5589,0.5152,0.527,0.546,0.5660,0.5732,0.6250
5/8–11,UNC,3,0.0000,0.6250,0.6129,0.5660,0.5619,0.5168,0.5270,0.5391,0.5660,0.5714,0.6250
5/8–12,UN,2,0.0016,0.6234,0.6120,0.5693,0.5639,0.5242,0.535,0.553,0.5709,0.5780,0.6250
5/8–12,UN,3,0.0000,0.6250,0.6136,0.5709,0.5668,0.5258,0.5350,0.5463,0.5709,0.5762,0.6250
5/8–14,UNS,2,0.0015,0.6235,0.6132,0.5771,0.5720,0.5385,0.548,0.564,0.5786,0.5852,0.6250
5/8–16,UN,2,0.0014,0.6236,0.6142,0.5830,0.5782,0.5491,0.557,0.571,0.5844,0.5906,0.6250
5/8–16,UN,3,0.0000,0.6250,0.6156,0.5844,0.5808,0.5505,0.5570,0.5662,0.5844,0.5890,0.6250
5/8–18,UNF,1,0.0014,0.6236,0.6105,0.5875,0.5805,0.5575,0.565,0.578,0.5889,0.5980,0.6250
5/8–18,UNF,2,0.0014,0.6236,0.6149,0.5875,0.5828,0.5575,0.565,0.578,0.5889,0.5949,0.6250
5/8–18,UNF,3,0.0000,0.6250,0.6163,0.5889,0.5854,0.5589,0.5650,0.5730,0.5889,0.5934,0.6250
5/8–20,UN,2,0.0013,0.6237,0.6156,0.5912,0.5869,0.5642,0.571,0.582,0.5925,0.5981,0.6250
5/8–20,UN,3,0.0000,0.6250,0.6169,0.5925,0.5893,0.5655,0.5710,0.5787,0.5925,0.5967,0.6250
5/8–24,UNEF,2,0.0012,0.6238,0.6166,0.5967,0.5927,0.5742,0.580,0.590,0.5979,0.6031,0.6250
5/8–24,UNEF,3,0.0000,0.6250,0.6178,0.5979,0.5949,0.5754,0.5800,0.5869,0.5979,0.6018,0.6250
5/8–27,UNS,2,0.0011,0.6239,0.6172,0.5998,0.5960,0.5798,0.585,0.594,0.6009,0.6059,0.6250
